,CD119 (IFN-g R a chain),CD11b,CD14,CD16,CD163,CD20,CD204,CD206,CD273,CD274,CD279 (PD-1),CD32,CD36,CD38,CD4,CD54,CD64,CD68,CD7,CD71,CD81,CD82,CD86,CD88,CD8a,CXCR4,HLA-ABC,HLA-DR,Neuropilin-1,Slamf7
batch1_sample1_transformed,0.65138257,0.21615928,-0.8399891,-0.4085482,-0.0062890034,-0.22311321,0.6293733,0.49843225,-0.18532234,-0.8463522,0.44324723,0.6747449,-0.11444229,-0.043904662,0.13114935,0.26951078,0.9015926,-0.38072222,-0.47622353,0.29667068,0.36967954,-0.20104289,-0.031212872,-0.005173622,0.2852627,0.47025633,0.38115126,-0.60351235,0.043216374,-0.4995465
batch1_sample1_transformed,-0.69345623,-0.4954486,-0.36714858,0.49408895,-0.4601516,-0.42652246,0.13831697,-0.76573086,0.58465856,0.068482876,-0.8113468,-0.69670475,-0.22357024,-0.22439195,-0.45834348,-0.744656,-0.6360801,-0.55421865,-0.37556258,-0.48914436,-0.059208963,-0.5451083,-0.20678335,-0.144393,-0.38749033,-0.1260338,-0.6714799,0.2724485,-0.08702322,-0.2935635
batch1_sample1_transformed,0.5409811,-0.011460196,-0.028004896,-0.021634197,0.21758384,-0.33873236,0.71656644,-0.09464379,0.7115793,-0.71929836,-0.49372604,0.8342375,-0.6308823,-0.23801762,-0.448446,0.12724036,0.038608704,-0.73301756,-0.90784806,-0.37390932,0.5911048,-0.080634706,0.22369586,-0.5110244,0.23375176,0.1215859,0.4570537,0.5280357,-0.15807478,-0.4857366
batch1_sample1_transformed,-0.1788847,-0.31648174,-0.5587098,0.30661544,-0.20407706,-0.30839148,0.2468697,-0.6078854,0.41144657,-0.0025437304,-0.5266293,0.11534897,-0.19519787,0.20509055,-0.58718055,-0.5332382,-0.37403038,-0.4774242,-0.6828947,-0.5300598,-0.23267369,-0.12939385,-0.0974665,-0.045954157,-0.12530774,-0.04190571,-0.29305178,0.5680598,0.19518456,-0.24350727
batch1_sample1_transformed,0.803326,0.9228522,0.99504304,0.5590443,0.52812696,0.93252355,0.9513669,0.9820462,0.79189825,0.9873885,0.16090645,0.68965,0.937437,0.30367184,-0.74518085,0.9193577,0.7427811,-0.83151317,0.5479073,-0.11015274,0.90232503,-0.69492126,0.66798407,-0.044759013,0.7020375,0.45320943,0.6552696,-0.31524193,0.02592001,0.845963
batch1_sample1_transformed,0.3725729,0.6412049,-0.47905907,-0.67683285,0.8004439,0.36354497,0.14658852,0.84772956,-0.42705747,0.53442603,0.69142866,0.72899836,0.8582289,0.9647289,-0.053130645,0.7660846,0.923373,-0.4945582,-0.23052773,-0.41677988,0.27618402,0.31137246,0.10701175,0.096370436,0.2830891,0.39892587,0.047774978,-0.700025,0.8343665,0.21198416
batch1_sample1_transformed,-0.6531232,-0.41995654,-0.13608018,-0.49738327,0.35081863,-0.56201726,-0.82495743,-0.8878884,0.11658461,-0.18979055,-0.1722265,-0.41400683,-0.40386322,0.3282715,-0.28140822,-0.7050764,-0.72648,0.27445707,0.36337397,-0.67512226,-0.6334758,-0.59596306,0.10701617,-0.29042453,-0.2886118,-0.6868185,-0.3594736,0.579919,0.08268993,-0.36227316
batch1_sample1_transformed,-0.5170193,-0.49582547,0.15007971,-0.65443325,0.46344027,-0.46186146,-0.8934415,-0.76832545,0.13233206,-0.32888433,-0.08437797,-0.286025,-0.5376201,0.39746433,-0.4349783,-0.56808287,-0.7331502,0.624919,0.625881,-0.73424166,-0.59559846,-0.47323957,-0.10422619,-0.097245544,-0.1854005,-0.77998656,-0.031449564,0.74303013,-0.11057068,-0.46515346
batch1_sample1_transformed,0.9986099,0.9999318,0.9999942,-0.8674884,0.9989439,0.99998885,0.9997682,0.999917,0.9875753,0.6781988,0.97007173,0.99989086,0.9959536,-0.73413527,-0.9805264,0.9996272,0.99990433,-0.99727434,-0.5956027,0.03186593,0.99995023,0.20584172,0.99990267,-0.8903043,0.569534,-0.33668476,0.99738836,0.93038476,-0.692535,0.9980329
batch1_sample1_transformed,0.1635199,0.65558386,0.64639187,-0.08533089,0.41647175,-0.16571413,0.66562337,-0.4327592,0.9203785,-0.55650204,-0.81511426,0.7073527,-0.30359462,-0.37641487,-0.605709,-0.2807704,0.2197705,-0.9039274,-0.77699685,-0.6064183,0.9194634,-0.5610242,0.8310168,-0.54643834,-0.32125458,-0.1612493,-0.17512922,0.4690707,-0.11927841,0.0914029
batch1_sample1_transformed,-0.49205232,-0.4856951,-0.7577571,0.66659397,-0.7638095,-0.267212,-0.5314206,-0.8306214,-0.119903594,-0.30103007,-0.6368809,-0.7856477,-0.30009517,-0.56565005,0.08577643,-0.9025687,-0.43158376,-0.06826253,0.6790351,0.10134178,-0.4045138,-0.457586,-0.20063981,0.46438608,-0.36708093,-0.17658329,-0.70565397,-0.05454792,-0.275422,-0.24233532
batch1_sample1_transformed,-0.58804035,-0.8506188,-0.4297424,0.14770854,-0.25192115,-0.74224675,-0.70534205,-0.795258,-0.15315077,-0.56457126,-0.613346,-0.46993276,-0.5687073,-0.34945604,-0.015488537,-0.73367,-0.9187473,0.15876514,-0.30081266,-0.41156858,-0.7997361,0.12583134,-0.37494257,-0.34894416,-0.25949916,-0.17021771,-0.19855909,0.6389292,-0.4839345,-0.08819742
batch1_sample1_transformed,-0.40477157,-0.82816815,-0.7876217,0.38377678,-0.44378516,-0.4555763,-0.46098298,-0.60165006,-0.2574214,-0.52156705,-0.5313185,-0.6445992,-0.27379462,-0.44700375,0.1387606,-0.7384347,-0.5353456,-0.32321143,0.009387888,-0.089758776,-0.51312613,-0.012998785,-0.40385267,-0.3087535,-0.21810032,-0.33723342,-0.32027522,0.5226895,-0.5278161,-0.19564886
batch1_sample1_transformed,-0.6629006,-0.7093761,-0.5367706,0.11297521,-0.35761344,-0.6286841,-0.29398507,-0.86951905,-0.10097485,-0.4993011,-0.3492399,-0.7548398,-0.31359306,-0.66118973,0.05335164,-0.7719192,-0.72580266,-0.15620732,-0.36055773,-0.094762966,-0.68142843,-0.34195945,-0.05200192,-0.57620907,-0.4058664,-0.33431497,-0.48028985,0.27697235,-0.45752248,0.012933868
batch1_sample1_transformed,-0.3794326,-0.7810566,-0.4353281,-0.3602496,-0.10911313,-0.4041607,-0.7627834,-0.82984984,-0.2768105,-0.623501,0.081697725,-0.49585873,-0.6055259,-0.26911575,0.2836039,-0.66857374,-0.6236743,-0.075222105,0.10364001,-0.49909857,-0.6351142,-0.08829031,-0.2908457,-0.4981936,-0.02592876,-0.73267245,-0.29915056,0.6909529,-0.43927422,-0.3930506
batch1_sample1_transformed,-0.4108576,-0.60963655,-0.50982213,-0.033332493,-0.60365254,-0.61597353,0.36302817,-0.75714606,0.3219381,-0.77720124,-0.41172156,-0.034848757,-0.7903214,-0.65145665,0.13728705,-0.45501542,-0.41970333,-0.60180104,-0.73673505,-0.2191532,0.020987986,-0.070016444,-0.3038802,-0.47756955,-0.1555623,-0.22583383,-0.3361777,0.41428524,-0.44101658,-0.4873599
batch1_sample1_transformed,-0.09000919,0.41019988,-0.585101,-0.54817325,-0.21901572,-0.38186577,0.533023,0.12911294,0.18742359,-0.89093703,0.19099073,0.4595458,-0.5897041,0.15071005,0.13301858,0.4330824,0.7340311,-0.2947764,-0.4659694,-0.35451385,0.7116302,-0.34763864,-0.4132589,0.521645,-0.096727364,0.76223356,-0.37466657,-0.7440695,0.14288299,-0.7872076
